id,user_id,created_at,updated_at,source,height_inches,weight_pounds,age_years,birthday_month,jacket_size,jacket_length,shirt_neck_inches,shirt_sleeve_inches,pant_waist_inches,pant_inseam_inches,t_shirt_size,build,shoulder_slope,posture,watch_wrist,watch_size,neck_inches,shoulder_inches,chest_inches,rise_inches,overarm_inches,thigh_inches,belly_inches,bicep_inches,waist_inches,wrist_inches,seat_inches,armpit_inches,torso_length_inches,leg_length_inches,knee_inches,shoulder_left,shoulder_right,center_back_arm_left_inches,center_back_arm_right_inches,arm_left_inches,arm_right_inches,estimated_birth_year,lastorderdate,lastorderid,neck,sleeve,chest,waist,seat,yoke,length,bicep,cuff,asym_cuff,asym_sleeve,posture_alteration,forearm_alteration,back_pleats,button_count,button_stance,sleeve_fit,pocket_size,short_sleeve_length,short_sleeve_opening,tuck,fit
31316,5,2015-10-11 19:06:49 UTC,2015-10-13 14:07:02 UTC,,70,170,31,,40,0,16.25,34.5,31,,5,Muscular,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1984,2015-10-11 19:11:14 UTC,13517,16.25,34.5,22,18.5,20.25,18,29.25,8.25,8.75,0,0,0,-0.5,No Pleats,,0,Fitted,,9.25,7.75,Untucked,Very Slim
15484,9,2015-09-07 20:18:04 UTC,2015-09-10 18:54:35 UTC,,70,200,34,,42,0,16.5,33,34,30,7,Average,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1981,2015-09-07 21:39:35 UTC,13038,16.5,33,23,21.25,22,18.5,29.5,9,9.25,0,0,0,0,No Pleats,,0.25,Standard,,9.5,8,Untucked,Slim
13153,18,2015-07-23 18:43:39 UTC,2015-07-23 18:43:39 UTC,,74,270,34,,48,0,17.5,33,42,31,11,Full,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1981,2015-07-23 18:45:16 UTC,12344,17.5,33,27,26.25,26.75,20.5,31,11,9.75,0,0,0,0,No Pleats,,0,Standard,,10.5,10,Untucked,Traditional
31365,20,2015-10-12 23:04:37 UTC,2015-10-12 23:04:37 UTC,,71,165,34,,36,0,,,,,3,Fit,Standard,,Left,Regular,15.5,18,38,,44.5,,33,12.5,33,7.5,36,,,,,,,33,33,,,1981,2015-10-12 23:06:31 UTC,13524,15.5,33,20,18.25,19,17,29.5,7.5,8.25,-0.25,0,0,0,No Pleats,,0,Fitted,,8.75,7,Tucked,Slim
15879,21,2015-09-08 21:01:33 UTC,2015-09-08 21:01:33 UTC,,68,170,32,,38,-1,15.5,33,32,31,6,Average,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1983,2011-08-18 15:31:56 UTC,4963,17.25,35,24,22.25,23,19,31,9.4375,9.25,0,0,0,0,Center Box Pleat,,0,Standard,,9.75,8.5,,
32587,31,2015-11-03 21:14:33 UTC,2015-11-03 21:14:33 UTC,,65,160,35,9,39,-1,16.75,31,34,29,6,Average,Standard,,Left,Large,,,,,,,,,,,,,,,,,,,,,,1980,2015-11-03 21:15:35 UTC,11321,16.75,31,22,20.75,21.75,17,29.5,8.5,8,-1,0,0,0,Side Pleats,,0,Standard,,9.25,7.5,,
21621,50,2015-09-08 21:04:11 UTC,2015-09-08 21:04:11 UTC,,69,165,42,,40,0,15.5,33,33,30,5,Fit,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1973,2012-01-07 18:45:13 UTC,5041,15.25,33,21,19.25,20,17.5,29.75,8.3125,8.75,0,0,0,0,No Pleats,,0,Standard,,9,7.25,,
20027,51,2015-09-08 21:03:25 UTC,2015-09-08 21:03:25 UTC,,69,185,32,,41,-1,17,34,29,30,5,Average,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1983,2012-02-13 22:33:13 UTC,4829,17,33.5,22,20.25,21,18,29.25,8.6875,8.75,0,0,0,0,Center Box Pleat,,0,Standard,,9.25,7.75,,
18558,82,2015-09-08 21:02:43 UTC,2015-09-08 21:02:43 UTC,,67,210,33,,44,0,,,36,30,8,Full,Standard,,Left,Regular,,,,,,,,,,,,,,,,,,,,,,1982,2014-06-09 18:27:53 UTC,6769,17.25,33.5,23.5,23.25,22.5,18.75,30.75,9.25,9.25,-0.25,0,0,0,Center Box Pleat,,0,Standard,,9.5,8.25,,
24160,103,2015-09-08 21:05:27 UTC,2015-09-08 21:05:27 UTC,,70,145,31,,36,0,14.5,,30,32,3,Average,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1984,2014-05-03 22:55:08 UTC,6251,14.5,33,19.5,17.75,19,16.75,29.25,7.75,8.25,0,0,0,-0.5,Side Pleats,,0,Standard,,8.5,6.75,,
